MODEL,DATA_TYP,MODEL_INDEX,TEST_SPLIT,LAYERS,UNITS,RETURN_SEQUENCE,FORECAST_HORIZON,BATCH_SIZE,EPOCHS,STEPS,OPTIMIZER,LEARNING_RATE,NORMALIZATION,TRAINING_TIME,TEST_TIME,MAE,MSE,RMSE
rnn,Wind,8,0.2,2,64, True,25,64,5,1894,Adam,0.001,minmax,77.24056125,1.920059443,27.33159361,1565.382255,39.56491192
rnn,Wind,9,0.2,2,64, False,25,64,5,1894,Adam,0.001,minmax,79.75641394,1.758615017,30.45511695,1928.62056,43.91606266
rnn,Wind,10,0.2,2,128, True,25,64,5,1894,Adam,0.001,minmax,81.79230523,1.737248421,28.14565599,1602.650192,40.03311369
rnn,Wind,11,0.2,2,128, False,25,64,5,1894,Adam,0.001,minmax,76.72415185,1.748606205,33.76145998,2274.405941,47.69073223
rnn,Wind,12,0.2,4,32, True,25,64,5,1894,Adam,0.001,minmax,142.4753828,2.874802828,33.39240104,2382.776839,48.8136952
rnn,Wind,13,0.2,4,32, False,25,64,5,1894,Adam,0.001,minmax,147.8896325,2.902114868,34.24265974,2345.95968,48.43510793
rnn,Wind,14,0.2,4,64, True,25,64,5,1894,Adam,0.001,minmax,134.1698279,2.848902464,28.09670899,1622.845431,40.28455574
rnn,Wind,15,0.2,4,64, False,25,64,5,1894,Adam,0.001,minmax,134.0614619,2.908052444,40.93475429,3474.620728,58.94591358
rnn,Wind,16,0.2,4,128, True,25,64,5,1894,Adam,0.001,minmax,138.1653574,3.184056997,38.57504034,2762.829455,52.56262412
rnn,Wind,17,0.2,4,128, False,25,64,5,1894,Adam,0.001,minmax,148.4692581,3.027896404,34.03805797,1993.911017,44.65323076
lstm,Wind,0,0.2,1,32, True,25,64,5,1894,Adam,0.001,minmax,57.43261075,1.627708197,27.13253106,1520.150444,38.98910674
lstm,Wind,1,0.2,1,32, False,25,64,5,1894,Adam,0.001,minmax,56.89198446,1.484897852,34.24227293,2189.661564,46.79381972
lstm,Wind,2,0.2,1,64, True,25,64,5,1894,Adam,0.001,minmax,53.0577507,1.67284584,28.90055882,1703.741279,41.27640099
lstm,Wind,3,0.2,1,64, False,25,64,5,1894,Adam,0.001,minmax,52.9660933,1.45531702,32.66418559,2142.42854,46.28637531
lstm,Wind,4,0.2,1,128, True,25,64,5,1894,Adam,0.001,minmax,53.29597974,1.62805748,33.52822127,2282.098022,47.77130962
lstm,Wind,5,0.2,1,128, False,25,64,5,1894,Adam,0.001,minmax,53.45391226,1.538480043,31.12403205,1892.018482,43.49733879
lstm,Wind,6,0.2,2,32, True,25,64,5,1894,Adam,0.001,minmax,83.82389998,2.397310257,35.12080769,2579.221738,50.78603881
lstm,Wind,7,0.2,2,32, False,25,64,5,1894,Adam,0.001,minmax,83.40209246,2.383524418,30.86510957,1994.633907,44.66132451
lstm,Wind,8,0.2,2,64, True,25,64,5,1894,Adam,0.001,minmax,83.25179791,2.334186554,27.65338896,1609.286069,40.11590793
